keys,freq,word1,word2
"""y fashionfabulous""",2,y,fashionfabulous
"""buen thanksgetting""",2,buen,thanksgetting
"""ese selfie""",2,ese,selfie
"""están ready""",2,están,ready
"""la techtrivia""",2,la,techtrivia
"""estas apps""",2,estas,apps
"""una techtrivia""",2,una,techtrivia
"""si has""",2,si,has
"""siempre has""",2,siempre,has
"""con latingrammy""",2,con,latingrammy
"""días droidturbo""",2,días,droidturbo
"""alianza u""",2,alianza,u
"""esta ready""",2,esta,ready
"""gorra exclusive""",2,gorra,exclusive
"""gatita halloween""",2,gatita,halloween
"""para halloween""",2,para,halloween
"""taguea repost""",2,taguea,repost
"""voz kids""",2,voz,kids
"""asisomos funny""",2,asisomos,funny
"""el baby""",2,el,baby
"""feliz weekend""",2,feliz,weekend
"""gatita deals""",2,gatita,deals
"""en the""",2,en,the
"""de team""",2,de,team
"""esta app""",2,esta,app
"""un show""",2,un,show
"""que my""",2,que,my
"""peor feeling""",2,peor,feeling
"""en ocean""",2,en,ocean
"""para cuddle""",2,para,cuddle
"""este show""",2,este,show
"""de prison""",2,de,prison
"""un girls""",2,un,girls
"""pal nap""",2,pal,nap
"""dar rt""",2,dar,rt
"""de subway""",2,de,subway
"""los likes""",2,los,likes
"""el hamburger""",2,el,hamburger
"""mis top""",2,mis,top
"""mi cookie""",2,mi,cookie
"""un movie""",2,un,movie
"""estoy active""",2,estoy,active
"""ese booty""",2,ese,booty
"""los turn""",2,los,turn
"""pero too""",2,pero,too
"""que awkward""",2,que,awkward
"""ya please""",2,ya,please
"""piscina wtf""",2,piscina,wtf
"""estuvo cool""",2,estuvo,cool
"""un parking""",2,un,parking
"""un stress""",2,un,stress
"""este nap""",2,este,nap
"""es to""",2,es,to
"""la fucking""",2,la,fucking
"""los characters""",2,los,characters
"""los labs""",2,los,labs
"""ese party""",2,ese,party
"""mi girl""",2,mi,girl
"""en fb""",2,en,fb
"""mi roommate""",2,mi,roommate
"""el group""",2,el,group
"""no one""",2,no,one
"""el weather""",2,el,weather
"""este hell""",2,este,hell
"""darle skip""",2,darle,skip
"""tan early""",2,tan,early
"""los naps""",2,los,naps
"""mis roommates""",2,mis,roommates
"""y sorry""",2,y,sorry
"""quiero popcorn""",2,quiero,popcorn
"""el beauty""",2,el,beauty
"""de prom""",2,de,prom
"""de im""",2,de,im
"""el black""",2,el,black
"""un feeling""",2,un,feeling
"""mas random""",2,mas,random
"""en beer""",2,en,beer
"""un workout""",2,un,workout
"""que cuteeeee""",2,que,cuteeeee
"""de highschool""",2,de,highschool
"""súper cute""",2,súper,cute
"""el mood""",2,el,mood
"""diaaa 'lo""",2,diaaa,'lo
"""darle rt""",2,darle,rt
"""ya to""",2,ya,to
"""mi clumsiness""",2,mi,clumsiness
"""el holiday""",2,el,holiday
