keys,freq,word1,word2
"""ne ek""",16,ne,ek
"""troll kar""",16,troll,kar
"""arrest kia""",16,arrest,kia
"""to acha""",16,to,acha
"""supporter hai""",16,supporter,hai
"""army wale""",16,army,wale
"""secularism ka""",16,secularism,ka
"""jail ma""",16,jail,ma
"""parliament mai""",16,parliament,mai
"""force ko""",16,force,ko
"""suspend kar""",16,suspend,kar
"""us ka""",16,us,ka
"""parents ne""",16,parents,ne
"""h but""",16,h,but
"""reporting kar""",16,reporting,kar
"""log hain""",16,log,hain
"""but wo""",16,but,wo
"""surrender kar""",16,surrender,kar
"""b le""",16,b,le
"""indians se""",16,indians,se
"""grylls ke""",16,grylls,ke
"""ji ka""",16,ji,ka
"""tou phir""",16,tou,phir
"""world ko""",16,world,ko
"""students ke""",16,students,ke
"""ha ha""",16,ha,ha
"""kr le""",16,kr,le
"""followers ko""",16,followers,ko
"""rape ka""",16,rape,ka
"""is desh""",16,is,desh
"""ap ke""",16,ap,ke
"""news ki""",16,news,ki
"""accept nahi""",16,accept,nahi
"""media wale""",16,media,wale
"""to to""",16,to,to
"""porkistan ki""",16,porkistan,ki
"""kr deta""",16,kr,deta
"""day jai""",16,day,jai
"""skti h""",16,skti,h
"""cancel kar""",16,cancel,kar
"""or unki""",16,or,unki
"""ravish ji""",16,ravish,ji
"""humanity ki""",16,humanity,ki
"""propaganda hai""",16,propaganda,hai
"""or bhi""",16,or,bhi
"""country ka""",16,country,ka
"""kr rhy""",16,kr,rhy
"""election se""",16,election,se
"""corrupt logon""",16,corrupt,logon
"""comments mein""",16,comments,mein
"""kr raha""",16,kr,raha
"""tweets kar""",16,tweets,kar
"""rubbish kumar""",16,rubbish,kumar
"""type ke""",16,type,ke
"""feel hota""",16,feel,hota
"""to bjp""",16,to,bjp
"""and i""",16,and,i
"""area ka""",16,area,ka
"""are you""",16,are,you
"""rahy hai""",16,rahy,hai
"""cross kar""",16,cross,kar
"""flop ho""",16,flop,ho
"""try kr""",16,try,kr
"""bc ek""",16,bc,ek
"""start hua""",16,start,hua
"""party ka""",16,party,ka
"""hospital ke""",16,hospital,ke
"""up se""",16,up,se
"""twitter me""",16,twitter,me
"""mily ga""",16,mily,ga
"""me he""",16,me,he
"""ka koi""",16,ka,koi
"""join kar""",16,join,kar
"""state hai""",16,state,hai
"""bary mai""",16,bary,mai
"""side se""",16,side,se
"""kr lena""",16,kr,lena
"""ke pass""",16,ke,pass
"""celebrate kiya""",16,celebrate,kiya
"""me es""",16,me,es
"""map pe""",15,map,pe
"""he hai""",15,he,hai
"""congress hai""",15,congress,hai
"""school main""",15,school,main
"""to aise""",15,to,aise
"""and yes""",15,and,yes
"""k upar""",15,k,upar
"""ap to""",15,ap,to
"""pa tu""",15,pa,tu
"""episode dekh""",15,episode,dekh
"""k baare""",15,k,baare
"""morning sir""",15,morning,sir
"""days se""",15,days,se
"""timeline pe""",15,timeline,pe
"""in kutto""",15,in,kutto
"""ban k""",15,ban,k
"""day hi""",15,day,hi
"""the end""",15,the,end
"""date pe""",15,date,pe
"""comment karne""",15,comment,karne
"""talent hai""",15,talent,hai
