keys,freq,word1,word2
"""thi congress""",20,thi,congress
"""ko he""",20,ko,he
"""pe depend""",20,pe,depend
"""log h""",20,log,h
"""gya or""",20,gya,or
"""mere account""",20,mere,account
"""fake account""",20,fake,account
"""koi news""",20,koi,news
"""bare me""",20,bare,me
"""ki dp""",20,ki,dp
"""kashmir to""",20,kashmir,to
"""r a""",20,r,a
"""tv debate""",20,tv,debate
"""hi nhi""",20,hi,nhi
"""dar k""",20,dar,k
"""ga in""",20,ga,in
"""ji ko""",20,ji,ko
"""world cup""",20,world,cup
"""just wait""",20,just,wait
"""se start""",20,se,start
"""ki report""",20,ki,report
"""ki language""",20,ki,language
"""ke is""",20,ke,is
"""ki g""",20,ki,g
"""aur govt""",20,aur,govt
"""hai na""",20,hai,na
"""ki list""",20,ki,list
"""aur pakistan""",20,aur,pakistan
"""we all""",20,we,all
"""de do""",20,de,do
"""ji k""",20,ji,k
"""ki tweet""",20,ki,tweet
"""se debate""",20,se,debate
"""they are""",20,they,are
"""you know""",20,you,know
"""par is""",20,par,is
"""ni he""",20,ni,he
"""out of""",20,out,of
"""koi special""",20,koi,special
"""ki news""",20,ki,news
"""hon gy""",19,hon,gy
"""jo indian""",19,jo,indian
"""wait and""",19,wait,and
"""abp news""",19,abp,news
"""bless you""",19,bless,you
"""is time""",19,is,time
"""agar is""",19,agar,is
"""sara din""",19,sara,din
"""aur ap""",19,aur,ap
"""ka new""",19,ka,new
"""soda kr""",19,soda,kr
"""pok or""",19,pok,or
"""na is""",19,na,is
"""de k""",19,de,k
"""dp change""",19,dp,change
"""kashmir cause""",19,kashmir,cause
"""hi kr""",19,hi,kr
"""ko reject""",19,ko,reject
"""hoga or""",19,hoga,or
"""indian media""",19,indian,media
"""india or""",19,india,or
"""k nam""",19,k,nam
"""gye or""",19,gye,or
"""aata h""",19,aata,h
"""ki value""",19,ki,value
"""ka drama""",19,ka,drama
"""apni family""",19,apni,family
"""hai article""",19,hai,article
"""hai real""",19,hai,real
"""baat to""",19,baat,to
"""army ki""",19,army,ki
"""rhe ho""",19,rhe,ho
"""par congress""",19,par,congress
"""super power""",19,super,power
"""ki twitter""",19,ki,twitter
"""beth kr""",19,beth,kr
"""raha hai""",19,raha,hai
"""koi award""",19,koi,award
"""ko promote""",19,ko,promote
"""abi to""",19,abi,to
"""se ap""",19,se,ap
"""army ka""",19,army,ka
"""by the""",19,by,the
