keys,word1,word2,Tweets
"""la has""",la,has,"  because they’re trying to get unvaxxed to mask, but goes against cdc and  fauci among others. doubt it will make a difference. la has always masked heavily and didn’t stop our horrible winter wave. vaccines are what really protect people, should double down on vax requirements."
"""la has""",la,has,i wonder if wi spa in la has lost business because a man tried to take advantage of women and children by flashing.  i would imagine a lot of korean women would be giving it a hard no.
"""la has""",la,has,la has the power to make two dozen friends within two weeks. incredible.
"""la has""",la,has,  flight 1602 from houston to la has been stuck on the tarmac for over an hour. it is 85+ degrees with no a/c on in here. you have elderly and disabled ppl who arent doing good right now. worst flight experience in 20 years….
"""la has""",la,has, all of la has collapsed just now
"""la has""",la,has,uh all of la has been told to mask up again indoors. this is not unique to fox. 
"""la has""",la,has," they also don't understand how little square footage that actually buys them. la has comparable prices to ny, but you get at least double the square footage for your money, even in rent.   the only place that can possibly claim it's more expensive than us is san francisco."
"""la has""",la,has, more of the same. this guy doesn't pay his taxes and is now giving money away that's not his to give. thanks liberals. what about all the money la has spent wheres that going ? were talking about a lot of money here ???
"""la has""",la,has,"'22 rb trevonte' citizen    of lake charles, la has committed to lsu.      "
"""la has""",la,has,"rising delta cases in la has me masking in indoor places again. i don’t wear it outside, though. i went to disneyland and wore a mask on some indoor rides/ lines but not outdoor. "
"""la has""",la,has,"la has entered to, in essence, the same host city contract as tokyo...   ... an extremely poorly negotiated contract by the city of la  known for its awfully negotiated deals ...  ... that no one in la read in the lead up to it getting rubberstamped in 2017..."
"""la has""",la,has,"la has one of the highest vaccination rates not just in the country, but the world.   so why the regressive public health measures? there are no republicans here to blame.   do vaccines work or not?"
"""la has""",la,has,  this is not true at all. downtown la has copious empty units but they’re luxury apartments and condos. many of them sit empty. meanwhile people sleep on the street. 
"""la has""",la,has,"  y’all might be interested in this. not sure of any other ugc crime watch apps in la, has to be citizen."
"""la has""",la,has,  la has never been the primary point of concern for  becoz  became operational with lease agreement in 2020 and now in 2021 iaf provided the noc for land acquisition.  delayed only because of less political benefits with the excuse of la.
"""la has""",la,has,   they do work for it.that’s literally the first thing any plastic surgeon tells you. no one looks like how they look on instagram. every person in la has had a surgery. if ur to fucking sensitive to look at ig models then get the fuck of the app and blame your parents for letting
"""la has""",la,has,but now we have to worry about what the effects of delta will be. the outlook is not good. delta could be worse than the original covid and we would start hunkering down again. la has already started. 
"""la has""",la,has," la has experts in swift water rescue solely because of the number of people they have to pull out of arroyos. similar in other desert cities. definitely don’t want to be in those channels, they fill quickly and are extremely hazardous"
"""la has""",la,has," la has griffith observatory, olvera st, grand central market, and beaches galore."
"""la has""",la,has,"since 2/2, la has been below 5% positive for 149/168  or 89% of  days. and since jan 13, hospitalizations have dropped/stayed flat 123 of the last 188 days, 65.5% of the time.  3/3 "
"""la has""",la,has,"suddenly i'm reading discussion of further stimulus whether from  or congress. eventually, what was once new becomes old and not as effective or actually ineffective. pushing on a string, la la la. has nothing to do w/ mkt rallying or not in here though. $spx $ndx $iwm"
